,cell_size_at_div,param_index,cat,perturb
124,0.6025214648786612,41,upper threshold,0.5
125,0.643606638538835,41,basal set,0.5
126,0.5779237816807558,42,lower threshold,0.5
127,0.6036175444428631,42,upper threshold,0.5
128,0.625841594181307,42,basal set,0.5
129,0.613061573546703,43,lower threshold,0.5
130,0.5802335969277109,43,upper threshold,0.5
131,0.6122890931879131,43,basal set,0.5
132,0.6099849643618384,44,lower threshold,0.5
133,0.5994286777212344,44,upper threshold,0.5
134,0.6339371953989097,44,basal set,0.5
135,0.5984247723523176,45,lower threshold,0.5
136,0.5830340196927571,45,upper threshold,0.5
137,0.5781657079245823,45,basal set,0.5
138,0.6283333037847797,46,lower threshold,0.5
139,0.6461260715523359,46,upper threshold,0.5
140,0.640149559977301,46,basal set,0.5
141,0.6064824554307732,47,lower threshold,0.5
142,0.6128105858662404,47,upper threshold,0.5
143,0.5619485167696177,47,basal set,0.5
144,0.5705502799503226,48,lower threshold,0.5
145,0.5738983867285634,48,upper threshold,0.5
146,0.5868574308963744,48,basal set,0.5
147,0.6194217428521679,49,lower threshold,0.5
148,0.570856783021721,49,upper threshold,0.5
149,0.5564672848370005,49,basal set,0.5
150,0.6069019743709282,50,lower threshold,0.5
151,0.603657547061952,50,upper threshold,0.5
152,0.6247718582471823,50,basal set,0.5
153,0.5817484708071062,51,lower threshold,0.5
154,0.6002960796466896,51,upper threshold,0.5
155,0.6224446057160626,51,basal set,0.5
156,0.6469336159764468,52,lower threshold,0.5
157,0.623211233429231,52,upper threshold,0.5
158,0.6383912687530954,52,basal set,0.5
159,0.6146068697511315,53,lower threshold,0.5
160,0.6431264222471206,53,upper threshold,0.5
161,0.5671814632749995,53,basal set,0.5
162,0.5598105312534508,54,lower threshold,0.5
163,0.6204824383773444,54,upper threshold,0.5
164,0.6089709467589755,54,basal set,0.5
165,0.5966007416288118,55,lower threshold,0.5
166,0.5732932610923155,55,upper threshold,0.5
167,0.5763234339979562,55,basal set,0.5
168,0.6027454445014512,56,lower threshold,0.5
169,0.6007811262988001,56,upper threshold,0.5
170,0.6180864833878497,56,basal set,0.5
171,0.6287671589765689,57,lower threshold,0.5
172,0.6238897220873888,57,upper threshold,0.5
173,0.5895925442667589,57,basal set,0.5
174,0.6002959567629512,58,lower threshold,0.5
175,0.5958114154190151,58,upper threshold,0.5
176,0.6143360403599001,58,basal set,0.5
177,0.6207839045004456,59,lower threshold,0.5
178,0.6149772285388214,59,upper threshold,0.5
179,0.6007609391870089,59,basal set,0.5
180,0.6416669627898279,60,lower threshold,0.5
181,0.5945633280636091,60,upper threshold,0.5
182,0.591507171778413,60,basal set,0.5
183,0.5934086526963632,61,lower threshold,0.5
184,0.6143686581336338,61,upper threshold,0.5
185,0.5599361922224856,61,basal set,0.5
186,0.5976375053236012,62,lower threshold,0.5
187,0.5558600704500354,62,upper threshold,0.5
188,0.5793936553376478,62,basal set,0.5
189,0.5855416374345825,63,lower threshold,0.5
190,0.575307099440552,63,upper threshold,0.5
191,0.6354030797936624,63,basal set,0.5
192,0.5899459411630058,64,lower threshold,0.5
193,0.6286372271448906,64,upper threshold,0.5
194,0.6052747217429867,64,basal set,0.5
