,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
34,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,30.277271066748316,0.8206587325221367,0.5697628220658169,,0.0,0.4873596668665479
35,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,30.588723526937457,0.8226291849268015,0.5697628220658169,,0.0,0.5529875177162966
36,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,31.120819703982836,0.826006526325604,0.5697628220658169,,0.0,0.6246075158589238
37,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,31.65226486294192,0.8293935759254706,0.5697628220658169,,0.0,0.6923069747570696
38,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,32.95760499536828,0.8377719449280049,0.5697628220658169,,0.0,0.764270072729849
39,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,34.03460712265609,0.8447484052315464,0.5697628220658169,,0.0,0.8395662112642696
40,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,34.57556741923915,0.8482744540033255,0.5697628220658169,,0.0,0.9085669242464478
41,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,35.021294997028626,0.8511908205209413,0.5697628220658169,,0.0,0.9790819953966249
42,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,36.0255150580278,0.8577981615253077,0.5697628220658169,,0.0,1.0
43,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,36.79114466754467,0.8628701159740422,0.5697628220658169,,0.0,1.0
44,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,37.39040282295797,0.8668608471305717,0.5697628220658169,,0.0,0.0
45,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,37.819454245669405,0.869729427654545,0.5697628220658169,,0.0,0.0
46,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,39.19162713411955,0.8789674724484798,0.5697628220658169,,0.0,0.0
47,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,40.39135316109884,0.8871248983221702,0.5697628220658169,,0.0,0.0
48,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,41.00506964165547,0.5327517684420983,0.6133950833552992,divided !!!,0.0,0.0
49,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,43.80528452368205,0.5443635124029413,0.6133950833552992,,0.0,0.0
50,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,44.673667902736945,0.5480156237548433,0.6133950833552992,,0.0,0.0
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,45.63734389331751,0.5520971914085281,0.6133950833552992,,0.0,0.0
52,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,46.12413694081586,0.5541705041591256,0.6133950833552992,,0.0,0.0
53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,46.63989794002015,0.5563756904585764,0.6133950833552992,,0.0,0.0
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,47.7771928722682,0.5612693636004937,0.6133950833552992,,0.0,0.0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,48.44268152990385,0.5641528367721478,0.6133950833552992,,0.0,0.0
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,49.40047848783271,0.5683288648294232,0.6133950833552992,,0.0,0.0
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,49.93918967168666,0.5706912324725235,0.6133950833552992,,0.0,0.0
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50.55816486442795,0.5734177012452619,0.6133950833552992,,0.0,0.0
59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51.286748040500136,0.5766436669369202,0.6133950833552992,,0.0,0.0
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51.576067297299915,0.5779297216166233,0.6133950833552992,,0.0,0.0
61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,52.638430327349546,0.5826766887158288,0.6133950833552992,,0.0,0.0
62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,54.03835057555819,0.5889915596741448,0.6133950833552992,,0.0,0.0
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55.195007234087726,0.5942606987678375,0.6133950833552992,,0.0,0.0
